OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
1153,BK,1183,51,35 Empire Boulevard,3011830051,"Brooklyn Central Office, Bureau of Fire Communications",LP-00156,"Borough of Brooklyn Tax Map Block 1183, Lot 51.",Designated,,4/19/1966,Individual Landmark,,355,35,40.6637094,-73.9613923,3017700,BK5591,790.0839143,22435.69037,Commercial,Williamsburg,Tier 4: Neighborhood Staple
1035,MN,202,18,58 Bowery,1002020018,Citizens Savings Bank,LP-02466,"Borough of Manhattan Tax Map Block 202, Lot 18 in part consisting of the land underneath the 1922-24 building.",Designated,,8/9/2011,Individual Landmark,,103,1,40.716141,-73.996573,1002902,MN0301,342.8760931,6508.640149,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
1032,MN,509,1,266 Mulberry Street,1005090001,Saint Patrick's Chancery Office,LP-00961,"Borough of Manhattan, Tax Map Block 509, Lot 1 in part.",Designated,"later Saint Michael's Chapel, now Saint Michael's Russian Catholic Church",7/12/1977,Individual Landmark,,102,1,40.7236588,-73.9951115,1004300,MN0201,136.2527131,1062.989809,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
932,BK,2457,28,175 Broadway,3024570028,Williamsburgh Savings Bank,LP-00164,"Borough of Brooklyn Tax Map Block 2457, Lot 28.",Designated,,5/17/1966,Individual Landmark,,301,34,40.7102556,-73.9624943,3054900,BK0102,464.6962128,13356.50775,Commercial,Park Slope,Tier 4: Neighborhood Staple
921,BK,2457,45,135 Broadway,3024570045,Kings County Savings Bank,LP-00165,"Borough of Brooklyn Tax Map Block 2457, Lot 45.",Designated,,3/15/1966,Individual Landmark,,301,34,40.7105991,-73.963569,3054900,BK0102,269.0441438,4082.737478,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
902,BK,3105,26,47-49 Graham Avenue,3031050026,"Williamsburg Branch, Public National Bank of New York Building",LP-02471,"Borough of Brooklyn Tax Map Block 3105, Lot 26",Designated,,1/17/2012,Individual Landmark,,301,34,40.7031661,-73.9428422,3049100,BK0104,317.5384564,5672.161604,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
871,BK,1984,78,65 Putnam Avenue,3019840078,Lincoln Club,LP-02015,"Borough of Brooklyn, Tax Map Block 1984, Lot 78.",Designated,"now Mechanics Temple, Independent Order of Mechanics of the Western Hemisphere",5/12/1981,Individual Landmark,,302,35,40.6832104,-73.9593583,3023100,BK0204,350.3226392,5288.999052,Other,Bed-Stuy,Tier 5: Ultra Niche / Insider Knowledge
804,MN,1296,7501,110 East 42nd Street,1012967501,Bowery Savings Bank Building,LP-01912,"Borough of Manhattan Tax Map Block 1296, Lots 1001 through 1005.",Designated,,9/17/1996,Individual Landmark,,105,4,40.7514473,-73.9770705,1008000,MN0603,726.0400179,26933.42325,Commercial,Upper East Side,Tier 4: Neighborhood Staple
803,MN,1376,69,2 East 62nd Street,1013760069,Knickerbocker Club Building,LP-01025,"Borough of Manhattan Tax Map Block 1376, Lot 69.",Designated,,9/11/1979,Individual Landmark,,108,4,40.7658449,-73.9714412,1011401,MN0802,410.2175743,8656.774813,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
786,MN,1288,33,370 Park Avenue,1012880033,Racquet and Tennis Club Building,LP-01000,"Borough of Manhattan Tax Map Block 1288, Lot 33.",Designated,,5/8/1979,Individual Landmark,,105,4,40.7588984,-73.9732165,1010200,MN0502,631.5598872,22093.52407,Commercial,Upper East Side,Tier 4: Neighborhood Staple
776,MN,1531,1,1511 Third Avenue,1015310001,Yorkville Bank Building,LP-02510,"Borough of Manhattan, Tax Map Block 1531, Lot 1.",Designated,,6/12/2012,Individual Landmark,,108,5,40.7781549,-73.9539963,1014601,MN0803,474.0420786,10989.75904,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
765,MN,27,7501,55 Wall Street,1000277501,National City Bank Building,LP-00040,"Borough of Manhattan Tax Map Block 27, Lot 1.",Designated,incorporating the Merchants' Exchange,12/21/1965,Individual Landmark,,101,1,40.7059301,-74.0093415,1000700,MN0101,763.1776098,35679.00337,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
763,MN,15,7502,19 West Street,1000157502,Downtown Athletic Club Building,LP-02075,"Borough of Manhattan Tax Map Block 15, Lot 19",Designated,,11/14/2000,Individual Landmark,,101,1,40.706182,-74.0156102,1001300,MN0101,524.9609791,14367.18883,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
727,MN,629,7504,77-79 Eighth Avenue,1006297504,New York County National Bank,LP-01633,"Borough of Manhattan Tax Map Block 629, Lot 35.",Designated,designated as the Manufacturers Hanover Trust Company Building,6/7/1988,Individual Landmark,,102,3,40.739669,-74.0029879,1007700,MN0203,367.6346752,8285.375225,Commercial,Harlem,Tier 4: Neighborhood Staple
674,MN,915,26,243 East 34th Street,1009150026,Civic Club,LP-00980,"Borough of Manhattan Tax Map Block 915, Lot 26.",Designated,now Estonian House,3/28/1978,Individual Landmark,,106,4,40.7452,-73.9761488,1007800,MN0603,253.0196606,2493.80339,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
653,MN,1851,1,743 Amsterdam Avenue,1018510001,East River Savings Bank,LP-01980,"Borough of Manhattan Tax Map Block 1851, Lot 1.",Designated,,2/10/1998,Individual Landmark,,107,7,40.7941757,-73.9698833,1018100,MN0702,438.4888301,10999.95616,Commercial,Tribeca,Tier 4: Neighborhood Staple
629,MN,1750,34,81-85 East 125th Street,1017500034,Mount Morris Bank Building,LP-01839,"Borough of Manhattan Tax Map Block 1750, Lot 34.",Designated,,1/5/1993,Individual Landmark,,111,9,40.8053813,-73.9392687,1019800,MN1102,290.9802638,4969.730678,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
611,MN,40,14,48 Wall Street,1000400014,Bank of New York & Trust Company Building,LP-02025,"Borough of Manhattan Tax Map Block 40, Lot 14.",Designated,,10/13/1998,Individual Landmark,,101,1,40.7064764,-74.0091216,1000700,MN0101,475.204128,13244.5757,Commercial,Upper East Side,Tier 4: Neighborhood Staple
591,MN,1375,1,1-11 East 60th Street,1013750001,Metropolitan Club Building,LP-01020,"Borough of Manhattan Tax Map Block 1375, Lot 1.",Designated,,9/11/1979,Individual Landmark,,108,4,40.7648652,-73.9719325,1011401,MN0802,682.2484282,25022.49417,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
583,MN,294,8,54 Canal Street,1002940008,S. Jarmulowsky Bank Building,LP-02363,"Borough of Manhattan Tax Map Block 294, Lot 8.",Designated,,10/13/2009,Individual Landmark,,103,1,40.7147821,-73.9922192,1001600,MN0301,287.5460148,5158.110578,Commercial,Harlem,Tier 4: Neighborhood Staple
